step	slope	intercept	MAE_all_next	MAE_last_5	last_actual	last_pred
[5500]	-3.078640512791989e-05	3.6502836166680757	0.16108920323255688	0.32750414086195717	3.058030531	2.726691462830479
[5600]	-2.9737707156840914e-05	3.646056861534223	0.14789860333799193	0.3007418709504263	3.058030531	2.7539256468289954
[5700]	-2.5025059076751915e-05	3.6253113871761955	0.08816556683453976	0.18222859454182366	3.058030531	2.874559614873638
[5800]	-2.4090705216907645e-05	3.619773906260215	0.07783796814788851	0.1601559188994061	3.058030531	2.8970527497529854
[5900]	-2.6163319842046684e-05	3.628984112530441	0.10467377851675853	0.2121914748020386	3.058030531	2.8440845172690405
[6000]	-2.3458627348164612e-05	3.6163548440008157	0.07086366648126521	0.14489708013744856	3.058030531	2.9125960235558774
[6100]	-2.1061019181312558e-05	3.60498141225977	0.04114921344387962	0.08542119054801636	3.058030531	2.973150836820393
[6200]	-2.2308427330367046e-05	3.609607675852577	0.057982290437234116	0.11765583775976922	3.058030531	2.9403548559415658
[6300]	-2.2798712927697435e-05	3.612501440199333	0.063901989085026	0.12925001281412635	3.058030531	2.92854005236841
[6400]	-2.3193929728587303e-05	3.613967576723174	0.0695421554488233	0.13946253275658105	3.058030531	2.9181496848655546
[6500]	-2.4699370807563964e-05	3.6213583305115318	0.08887981625522842	0.1765575628519834	3.058030531	2.8803772062846127
[6600]	-2.3614993096774206e-05	3.616078522815054	0.0753578867756242	0.149794009194624	3.058030531	2.9076287299118277
[6700]	-2.3243056567297017e-05	3.6141454816116427	0.07104046663506258	0.14073632595198418	3.058030531	2.9168537845927323
[6800]	-2.1116308375973343e-05	3.604835834111457	0.04299967929252523	0.08720056439855547	3.058030531	2.9713465828322567
[6900]	-2.556760434705233e-05	3.6290171656914354	0.09805962959297601	0.19455502876396102	3.058030531	2.8619890352798656
[7000]	-2.622302505228035e-05	3.632403000940155	0.10683570692650644	0.21053687535472926	3.058030531	2.8457122493717444
[7100]	-2.5342406380422723e-05	3.6285400920493878	0.0952634680755837	0.18837750249210378	3.058030531	2.868267900636706
[7200]	-2.4819616229143506e-05	3.625927967217575	0.08885342062575795	0.17554117835361582	3.058030531	2.8813394803432697
[7300]	-2.3408028669632945e-05	3.61896609288402	0.0707046403918316	0.14079064030363364	3.058030531	2.9167252327950317
[7400]	-1.884991545939934e-05	3.592961768216759	0.019227685323264392	0.03274006185976317	3.058030531	3.027464304434779
[7500]	-2.5447007254727484e-05	3.6324340760577676	0.09449951845816981	0.18757447431942958	3.058030531	2.869023858415943
[7600]	-2.395585299221357e-05	3.62193698936878	0.07816182191466707	0.15400795255113092	3.058030531	2.903261399602373
[7700]	-1.9054155902113448e-05	3.5923964895215423	0.021144923923049543	0.038703303385910104	3.058030531	3.020771812458139
[7800]	-1.622358809566182e-05	3.5730392253074528	0.025631368504191527	0.02558271108064596	3.058030531	3.086331582437598
[7900]	-1.6559408182424884e-05	3.5750266231766403	0.023224459298654278	0.01806117651790915	3.058030531	3.0782443777038937
[8000]	-1.3717052791991088e-05	3.5554013811208747	0.048716613235052976	0.082012985117538	3.058030531	3.143889797361142
[8100]	-1.3821905621802e-05	3.55545617495165	0.04734642658699995	0.07896937782740081	3.058030531	3.14079900629759
[8200]	-1.414914563070076e-05	3.558070616573897	0.04446500200152491	0.07191387718668962	3.058030531	3.1335962476528745
[8300]	-1.4390295953281418e-05	3.561012311379978	0.043032631251320896	0.06772957996051217	3.058030531	3.1293034327815357
[8400]	-1.604251711012234e-05	3.5710052121486835	0.027063636792703218	0.0288993455445683	3.058030531	3.089729698845013
[8500]	-1.4934300153503868e-05	3.5638636797822025	0.037144793831901425	0.05450562424616305	3.058030531	3.1158346751770867
[8600]	-1.4349092929922129e-05	3.559468188848943	0.04294541712116831	0.06740300676974406	3.058030531	3.128995400951279
[8700]	-1.2519697835372632e-05	3.545559227406452	0.06182486081248701	0.10755267037119043	3.058030531	3.1699682923452728
[8800]	-1.1630775265850952e-05	3.540078799937337	0.07262604897390978	0.1283399048314414	3.058030531	3.1911555419618085
[8900]	-1.4075064658509451e-05	3.557684232705896	0.04629401132333814	0.07371658604694167	3.058030531	3.1354322929506124
[9000]	-1.491972456062291e-05	3.56265757429937	0.03709034266029544	0.05373022753296297	3.058030531	3.1150658374806826
[9100]	-1.380581600444938e-05	3.5536019373673713	0.04783839339400397	0.0775905884358921	3.058030531	3.13942745723389
[9200]	-1.5645367770856476e-05	3.5684998415908042	0.03102651700791733	0.03812973796199533	3.058030531	3.09913880846511
[9300]	-1.4527987612903205e-05	3.560067539027957	0.04165471910011497	0.06271601906666731	3.058030531	3.124227910640861
[9400]	-1.3371846235817556e-05	3.5522361386747496	0.05438185574143744	0.08904859640634082	3.058030531	3.151080751600223
[9500]	-1.3489110525027804e-05	3.5542693285598075	0.05425015875276948	0.08761662654523583	3.058030531	3.1495960128089733
[9600]	-1.7130358100111227e-05	3.5816539428492398	0.02063483446275513	0.012658087398190609	3.058030531	3.067743199845903
[9700]	-1.510643050055618e-05	3.5664113294295885	0.037369119305230264	0.05196682213815333	3.058030531	3.113218414412903
[9800]	-1.1943126422691894e-05	3.538845973396144	0.06857094677309605	0.11787710160559843	3.058030531	3.180552180715387
[9900]	-1.4631803864293687e-05	3.5623737552199484	0.042210912023518614	0.06195446503006981	3.058030531	3.1234196392911375
[10000]	-1.691451039154619e-05	3.5820024980810534	0.02310717132186198	0.015350365837841728	3.058030531	3.0745671863346677
[10100]	-1.7030609939933275e-05	3.5823845369804226	0.022118171891372336	0.013591854202758302	3.058030531	3.071466238782424
[10200]	-1.7817310943270317e-05	3.589114610120282	0.017697720102923642	0.014904440848505862	3.058030531	3.0545952818221727
[10300]	-1.6315812137931052e-05	3.575473959954023	0.027115427487184037	0.02529222527816044	3.058030531	3.0859995958160917
[10400]	-1.1599707612903228e-05	3.5327730264688175	0.07124553013325263	0.12195218050752712	3.058030531	3.184781798081721
[10500]	-1.811154175528366e-05	3.59181878411865	0.016756230698325415	0.017315290987757147	3.058030531	3.04847253146014
[10600]	-2.1049726373748616e-05	3.6188763926197995	0.03271978335263852	0.07119250772447208	3.058030531	2.9873846014073413
[10700]	-1.887437712791991e-05	3.5975073452665924	0.017718445146096343	0.029683097147148764	3.058030531	3.031276031428995
[10800]	-1.646070410901e-05	3.57665183718591	0.025919166209148106	0.02218854476466441	3.058030531	3.0828307139156097
[10900]	-1.7809783223581726e-05	3.589188037762848	0.01758877504328593	0.014785715758775986	3.058030531	3.054894541055396
[11000]	-1.564609489210232e-05	3.569538275419578	0.03258070815939621	0.03914668535795433	3.058030531	3.1001554286565085
[11100]	-1.5793464153503877e-05	3.5715225636479797	0.03184445432841507	0.03677621191194014	3.058030531	3.0977186390428635
[11200]	-1.3437934809788631e-05	3.5495017844954395	0.05419937795271202	0.08436132486618542	3.058030531	3.146363740201781
[11300]	-1.1982670625139024e-05	3.5344812981909532	0.06815861447961911	0.11234389521809511	3.058030531	3.1750011794367827
[11400]	-1.2957243928809768e-05	3.5456862552249904	0.060199274149848804	0.09475021112866164	3.058030531	3.1569689373606975
[11500]	-1.2478964711902098e-05	3.5398988542879493	0.06429306492763345	0.10309596105124222	3.058030531	3.1655299129308863
[11600]	-1.3779455586206882e-05	3.552153909533333	0.05125395740202155	0.07692151096091981	3.058030531	3.138770241947127
[11700]	-1.3653970307007794e-05	3.5505150695468295	0.05241335420483992	0.07899076097474915	3.058030531	3.1408959603365956
[11800]	-1.1105654860956633e-05	3.5235249691442334	0.07658028793504085	0.12730338200296484	3.058030531	3.1903553233155346
[11900]	-1.31274295239155e-05	3.5446976998915827	0.057569761191285644	0.08873267145987951	3.058030531	3.1508748141741174
[12000]	-1.653260210678535e-05	3.580492560726585	0.027867822083483235	0.023904682471078065	3.058030531	3.0845144975230245
[12100]	-1.7627255661846517e-05	3.591798390398665	0.02022864297944046	0.012565010455306069	3.058030531	3.06298072054327
[12200]	-1.840971716351504e-05	3.600280004407787	0.01679621185665688	0.017470144967808743	3.058030531	3.047988489502336
[12300]	-2.0020619085650753e-05	3.6164048966459776	0.019913584238614654	0.04325388333500215	3.058030531	3.015786324076455
[12400]	-1.724322525917688e-05	3.58570096452132	0.021904492633113278	0.012800446822528589	3.058030531	3.0684042067460133
[12500]	-1.765801085428254e-05	3.588737793839822	0.018834017065552933	0.013357662746674225	3.058030531	3.058997468211346
