step	a	b	c	confidence_a	confidence_b	confidence_c	R^2	MAE_all_next	MAE_last_5	last_actual	last_pred
8700	7.2880308656288335	-1.0	3.6715367343532446	inf	inf	inf	0.7350893128442817	0.4259724317186292	0.6022330097532446	3.058030531	3.6715367343532446
8800	7.290453223125002	-1.0	3.669114376875	inf	inf	inf	0.7347820456074508	0.42457811758997593	0.5998106522750001	3.058030531	3.669114376875
8900	7.293377171303373	-1.0	3.666190428696629	inf	inf	inf	0.7342759354674986	0.42245196907041555	0.5968867040966291	3.058030531	3.666190428696629
9000	7.296302384844445	-1.0	3.6632652151555556	inf	inf	inf	0.7337549182253472	0.42030325675067753	0.5939614905555556	3.058030531	3.6632652151555556
9100	7.298899228431715	-1.0	3.6606683715587427	inf	inf	inf	0.7333534003862028	0.4186083273136446	0.5913646469587427	3.058030531	3.6606683715587427
9200	7.301485314217389	-1.0	3.6580822857826085	inf	inf	inf	0.7329442393055486	0.41691233235896324	0.5887785611826085	3.058030531	3.6580822857826085
9300	7.303866569942209	-1.0	3.655701030037017	inf	inf	inf	0.7326008122312505	0.4154986783389972	0.586397305437017	3.058030531	3.655701030037017
9400	7.306020360682779	-1.0	3.6535472392725423	inf	inf	inf	0.7323264699042638	0.414404799740204	0.5842435146725423	3.058030531	3.6535472392725423
9500	7.308255511821052	-1.0	3.651312088178947	inf	inf	inf	0.7320155107194525	0.41317997587894717	0.5820083635789471	3.058030531	3.651312088178947
9600	7.3112694317962665	-1.0	3.64829816825614	inf	inf	inf	0.7313599661350324	0.41078838592448186	0.5789944436561402	3.058030531	3.64829816825614
9700	7.31328073972165	-1.0	3.6462868602783507	inf	inf	inf	0.7311083553633241	0.4098664290157244	0.5769831356783507	3.058030531	3.6462868602783507
9800	7.31554678585696	-1.0	3.6440208141826194	inf	inf	inf	0.7307582417003522	0.4085536515024164	0.5747170895826194	3.058030531	3.6440208141826194
9900	7.31788035528496	-1.0	3.641687244714393	inf	inf	inf	0.7303718073020413	0.40712584873990304	0.5723835201143929	3.058030531	3.641687244714393
10000	7.32029038502761	-1.0	3.639277214979639	inf	inf	inf	0.7299432460181576	0.4055677311898953	0.5699734903796388	3.058030531	3.639277214979639
10100	7.322653013701879	-1.0	3.636914586319938	inf	inf	inf	0.7295242218208324	0.4040656295209688	0.5676108617199379	3.058030531	3.636914586319938
10200	7.32497179955585	-1.0	3.6345958004084062	inf	inf	inf	0.7291134990352341	0.4026149755638466	0.5652920758084062	3.058030531	3.6345958004084062
10300	7.327138913638807	-1.0	3.6324286864045874	inf	inf	inf	0.7287557863872072	0.4013822481858374	0.5631249618045874	3.058030531	3.6324286864045874
10400	7.329051707432694	-1.0	3.6305158925673076	inf	inf	inf	0.728486089133298	0.4005294108395589	0.5612121679673076	3.058030531	3.6305158925673076
10500	7.3315903986596025	-1.0	3.6279772013598346	inf	inf	inf	0.7279399190792005	0.3986958082282556	0.5586734767598346	3.058030531	3.6279772013598346
10600	7.333925000203272	-1.0	3.625642599824419	inf	inf	inf	0.72748061253805	0.3971613550889694	0.556338875224419	3.058030531	3.625642599824419
10700	7.336121549886561	-1.0	3.6234460500734595	inf	inf	inf	0.7270736959599065	0.3958272017809064	0.5541423254734595	3.058030531	3.6234460500734595
10800	7.337835979127047	-1.0	3.6217316208412793	inf	inf	inf	0.7268469215552948	0.395239343910798	0.5524278962412793	3.058030531	3.6217316208412793
10900	7.34001858066055	-1.0	3.6195490193394497	inf	inf	inf	0.7264269682260109	0.3939026336996648	0.5502452947394497	3.058030531	3.6195490193394497
11000	7.341785401718183	-1.0	3.617782198281818	inf	inf	inf	0.7261693585508665	0.3932144738169533	0.5484784736818181	3.058030531	3.617782198281818
11100	7.3437160855758	-1.0	3.6158515144361965	inf	inf	inf	0.7258411469218018	0.3922561191372834	0.5465477898361965	3.058030531	3.6158515144361965
11200	7.345402796401788	-1.0	3.6141648035982143	inf	inf	inf	0.7256000178247115	0.3916805804616023	0.5448610789982143	3.058030531	3.6141648035982143
11300	7.347316463690008	-1.0	3.612251136280986	inf	inf	inf	0.7252634326140599	0.39073084816560155	0.5429474116809861	3.058030531	3.612251136280986
11400	7.349055939089775	-1.0	3.6105116608842494	inf	inf	inf	0.7249902254165543	0.3900545255472328	0.5412079362842493	3.058030531	3.6105116608842494
11500	7.351016385840181	-1.0	3.6085512141737413	inf	inf	inf	0.7246174571159001	0.38900854080151903	0.5392474895737412	3.058030531	3.6085512141737413
11600	7.353066364836207	-1.0	3.606501235163793	inf	inf	inf	0.7241946593462257	0.38780331584535727	0.5371975105637931	3.058030531	3.606501235163793
11700	7.354947496529914	-1.0	3.6046201034700855	inf	inf	inf	0.7238419707588986	0.3868643802622203	0.5353163788700855	3.058030531	3.6046201034700855
11800	7.356690410110425	-1.0	3.602877189870749	inf	inf	inf	0.723541693935075	0.3861451987295058	0.5335734652707488	3.058030531	3.602877189870749
11900	7.358589196650116	-1.0	3.6009784033244774	inf	inf	inf	0.7231656484960078	0.38515658035856826	0.5316746787244774	3.058030531	3.6009784033244774
12000	7.36060028649833	-1.0	3.598967313492198	inf	inf	inf	0.7227270519902955	0.38396735224648376	0.529663588892198	3.058030531	3.598967313492198
12100	7.362519126137898	-1.0	3.597048473876175	inf	inf	inf	0.7223259801505508	0.38292085607157744	0.5277447492761752	3.058030531	3.597048473876175
12200	7.364364020956506	-1.0	3.595203579001813	inf	inf	inf	0.7219527847700912	0.3819883524237782	0.5258998544018129	3.058030531	3.595203579001813
12300	7.366432387146338	-1.0	3.5931352128536584	inf	inf	inf	0.7214574559845364	0.3806617264815655	0.5238314882536584	3.058030531	3.5931352128536584
12400	7.368115423153227	-1.0	3.591452176846774	inf	inf	inf	0.7211448981282322	0.3799843352795225	0.522148452246774	3.058030531	3.591452176846774
12500	7.370102387280454	-1.0	3.5894652127544813	inf	inf	inf	0.7206759128618812	0.3787715701485989	0.5201614881544813	3.058030531	3.5894652127544813
12600	7.372016013373016	-1.0	3.5875515866269843	inf	inf	inf	0.720237781155187	0.37767246874532745	0.5182478620269843	3.058030531	3.5875515866269843
12700	7.373542901869693	-1.0	3.586024698121151	inf	inf	inf	0.7199750537216816	0.37723937564496074	0.5167209735211512	3.058030531	3.586024698121151
12800	7.375458985000003	-1.0	3.584108615	inf	inf	inf	0.7195192175742124	0.37611359633532926	0.5148048903999999	3.058030531	3.584108615
12900	7.377133856976743	-1.0	3.582433743023256	inf	inf	inf	0.7191790825733921	0.3754029117762679	0.5131300184232558	3.058030531	3.582433743023256
13000	7.3786745903769235	-1.0	3.580893009623077	inf	inf	inf	0.7188943790806808	0.3749234363745923	0.5115892850230771	3.058030531	3.580893009623077
13100	7.38017847331817	-1.0	3.5793891266871363	inf	inf	inf	0.7186203561752793	0.374504399607868	0.5100854020871363	3.058030531	3.5793891266871363
13200	7.381769256165696	-1.0	3.5777983438250525	inf	inf	inf	0.7183013871094399	0.3739229484140095	0.5084946192250525	3.058030531	3.5777983438250525
13300	7.383506990428572	-1.0	3.5760606095714285	inf	inf	inf	0.7179027614950153	0.37306672213932973	0.5067568849714285	3.058030531	3.5760606095714285
13400	7.385112495590497	-1.0	3.5744551044239046	inf	inf	inf	0.7175648920093457	0.3724421426537182	0.5051513798239046	3.058030531	3.5744551044239046
13500	7.386823152866666	-1.0	3.572744447133333	inf	inf	inf	0.7171668428150335	0.37161588167083315	0.5034407225333332	3.058030531	3.572744447133333
13600	7.388322635781037	-1.0	3.5712449641814117	inf	inf	inf	0.7168684347204941	0.3711710289046822	0.5019412395814117	3.058030531	3.5712449641814117
13700	7.390067251138686	-1.0	3.5695003488613137	inf	inf	inf	0.7164377968050408	0.3702628612473896	0.5001966242613137	3.058030531	3.5695003488613137
13800	7.391438563812839	-1.0	3.56812903616251	inf	inf	inf	0.7161874825890272	0.3700445530605993	0.4988253115625102	3.058030531	3.56812903616251
13900	7.392977378453239	-1.0	3.566590221546763	inf	inf	inf	0.7158534289790875	0.36950669563650645	0.49728649694676286	3.058030531	3.566590221546763
14000	7.394631543942858	-1.0	3.564936056057143	inf	inf	inf	0.7154524384607646	0.36874235935391697	0.4956323314571428	3.058030531	3.564936056057143
14100	7.396247701546098	-1.0	3.5633198984539005	inf	inf	inf	0.7150659692758614	0.3680409039409135	0.4940161738539005	3.058030531	3.5633198984539005
14200	7.397631451584506	-1.0	3.561936148415493	inf	inf	inf	0.7147916651301929	0.36777838526516615	0.492632423815493	3.058030531	3.561936148415493
14300	7.39935632582164	-1.0	3.5602112741847614	inf	inf	inf	0.7143292410846898	0.3668503621584456	0.49090754958476135	3.058030531	3.5602112741847614
14400	7.401032052319445	-1.0	3.5585355476805556	inf	inf	inf	0.7138893416227267	0.36600606442889994	0.4892318230805556	3.058030531	3.5585355476805556
14500	7.402245008786209	-1.0	3.557322591213793	inf	inf	inf	0.7136783481037525	0.36606062380712645	0.4880188666137931	3.058030531	3.557322591213793
14600	7.403726646964131	-1.0	3.55584095304123	inf	inf	inf	0.7133350890792409	0.3655839618130419	0.4865372284412298	3.058030531	3.55584095304123
14700	7.405333919184959	-1.0	3.5542336808373154	inf	inf	inf	0.712915596360076	0.3648504392629911	0.4849299562373154	3.058030531	3.5542336808373154
14800	7.40663446660811	-1.0	3.5529331333918917	inf	inf	inf	0.7126536686140319	0.3647224728816876	0.48362940879189165	3.058030531	3.5529331333918917
14900	7.408051568118817	-1.0	3.5515160318698062	inf	inf	inf	0.7123287985694029	0.3643572504451487	0.48221230726980624	3.058030531	3.5515160318698062
15000	7.409492483773804	-1.0	3.5500751162510538	inf	inf	inf	0.7119860173635955	0.3639385410855365	0.48077139165105376	3.058030531	3.5500751162510538
15100	7.411140476784923	-1.0	3.5484271231842768	inf	inf	inf	0.7115150036797404	0.36308979515649903	0.47912339858427677	3.058030531	3.5484271231842768
15200	7.412710631659859	-1.0	3.5468569683669577	inf	inf	inf	0.711086321985702	0.3623897540592654	0.47755324376695774	3.058030531	3.5468569683669577
15300	7.414351637025899	-1.0	3.5452159630071005	inf	inf	inf	0.7106065428155118	0.3615326637324526	0.4759122384071005	3.058030531	3.5452159630071005
15400	7.415941949180523	-1.0	3.543625650831753	inf	inf	inf	0.710152991315635	0.36076947629983813	0.47432192623175295	3.058030531	3.543625650831753
15500	7.41750315029538	-1.0	3.5420644496782785	inf	inf	inf	0.7097117426732179	0.3600567272711357	0.4727607250782785	3.058030531	3.5420644496782785
15600	7.418478824031574	-1.0	3.541088775951044	inf	inf	inf	0.7095624064800732	0.360576388979821	0.4717850513510441	3.058030531	3.541088775951044
15700	7.419934278694267	-1.0	3.5396333213057325	inf	inf	inf	0.7091743314551227	0.36007796339268905	0.4703295967057325	3.058030531	3.5396333213057325
15800	7.421053448444074	-1.0	3.538514151541886	inf	inf	inf	0.7089593214049453	0.3602963785929808	0.46921042694188586	3.058030531	3.538514151541886
15900	7.422528317276727	-1.0	3.5370392827232706	inf	inf	inf	0.7085480337240029	0.35974645269385885	0.4677355581232706	3.058030531	3.5370392827232706
16000	7.4238965183935655	-1.0	3.5356710815926697	inf	inf	inf	0.7081958695452779	0.35942146839266964	0.46636735699266973	3.058030531	3.5356710815926697
16100	7.425233138416149	-1.0	3.534334461583851	inf	inf	inf	0.7078571468311543	0.3591611591808659	0.465030736983851	3.058030531	3.534334461583851
16200	7.426526856509832	-1.0	3.53304074347759	inf	inf	inf	0.7075381733983861	0.35899209390616127	0.4637370188775899	3.058030531	3.53304074347759
16300	7.427806071674848	-1.0	3.5317615283251533	inf	inf	inf	0.7072228878832649	0.3588528789312139	0.4624578037251533	3.058030531	3.5317615283251533
16400	7.429124607951223	-1.0	3.5304429920487803	inf	inf	inf	0.7068805076144841	0.35862299097244443	0.4611392674487803	3.058030531	3.5304429920487803
16500	7.430449403827719	-1.0	3.529118196160205	inf	inf	inf	0.706529741909599	0.35837536177558954	0.45981447156020494	3.058030531	3.529118196160205
16600	7.431642430855423	-1.0	3.527925169144578	inf	inf	inf	0.7062494612235205	0.358425225276361	0.4586214445445781	3.058030531	3.527925169144578
16700	7.433180134407185	-1.0	3.5263874655928142	inf	inf	inf	0.70574778844308	0.3576814961943767	0.45708374099281424	3.058030531	3.5263874655928142
16800	7.434436485387826	-1.0	3.5251311146145867	inf	inf	inf	0.7054240274827321	0.3575795903547442	0.4558273900145867	3.058030531	3.5251311146145867
16900	7.435941918245312	-1.0	3.5236256817361236	inf	inf	inf	0.7049332552508795	0.35689289901390125	0.45432195713612356	3.058030531	3.5236256817361236
17000	7.437446333047718	-1.0	3.522121266919311	inf	inf	inf	0.704437358806759	0.3561976232393109	0.45281754231931093	3.058030531	3.522121266919311
17100	7.438785272029242	-1.0	3.5207823279707604	inf	inf	inf	0.7040495464891845	0.355884805761083	0.4514786033707604	3.058030531	3.5207823279707604
17200	7.4402181246993155	-1.0	3.519349475276511	inf	inf	inf	0.7035932777164472	0.3553416615448038	0.4500457506765111	3.058030531	3.519349475276511
17300	7.441702078554849	-1.0	3.517865521443671	inf	inf	inf	0.7030946241668526	0.35466604908301524	0.4485617968436709	3.058030531	3.517865521443671
17400	7.443010313305055	-1.0	3.516557286713684	inf	inf	inf	0.702712735483397	0.3544076755731882	0.44725356211368406	3.058030531	3.516557286713684
17500	7.444164020005716	-1.0	3.5154035799942855	inf	inf	inf	0.7024211986980703	0.3545248771776189	0.44609985539428554	3.058030531	3.5154035799942855
17600	7.445636666578292	-1.0	3.513930933438466	inf	inf	inf	0.7019131279538892	0.353853399396449	0.44462720883846585	3.058030531	3.513930933438466
17700	7.446952156153486	-1.0	3.512615443846728	inf	inf	inf	0.7015123131434071	0.3535634330246942	0.4433117192467281	3.058030531	3.512615443846728
17800	7.448371727335679	-1.0	3.5111958726735195	inf	inf	inf	0.7010327007370797	0.35300608206668194	0.4418921480735195	3.058030531	3.5111958726735195
17900	7.449693450972066	-1.0	3.509874149027933	inf	inf	inf	0.700618199365278	0.3526879579848296	0.44057042442793304	3.058030531	3.509874149027933
18000	7.450847539216671	-1.0	3.5087200607833333	inf	inf	inf	0.7003082234536857	0.35279432255724635	0.4394163361833333	3.058030531	3.5087200607833333
18100	7.452180408972374	-1.0	3.5073871910276244	inf	inf	inf	0.6998760011502914	0.35243991680832615	0.4380834664276244	3.058030531	3.5073871910276244
18200	7.453419017812044	-1.0	3.5061485821813263	inf	inf	inf	0.6995042913859857	0.3523253177565475	0.4368448575813263	3.058030531	3.5061485821813263
18300	7.4547496600303775	-1.0	3.5048179399760726	inf	inf	inf	0.6990638083671574	0.3519662630028583	0.4355142153760726	3.058030531	3.5048179399760726
18400	7.455844341187729	-1.0	3.5037232588129874	inf	inf	inf	0.6987752632386253	0.35222784246163613	0.4344195342129874	3.058030531	3.5037232588129874
18500	7.457017673945945	-1.0	3.502549926054054	inf	inf	inf	0.6984340811482597	0.35228324862678123	0.433246201454054	3.058030531	3.502549926054054
18600	7.458351432544883	-1.0	3.501216167442598	inf	inf	inf	0.6979761157066062	0.3519054913692034	0.4319124428425979	3.058030531	3.501216167442598
18700	7.45974422837911	-1.0	3.499823371611902	inf	inf	inf	0.6974673707755168	0.3513594795193093	0.4305196470119018	3.058030531	3.499823371611902
